#{"t_start": 1782138123.3904839, "env_id": "FetchReach-v4"}
r,l,t
-1.927033,50,328.679128
-1.760782,50,330.275514
-0.844125,50,331.669038
-2.103511,50,333.033564
-2.008879,50,334.358006
-1.516885,50,335.931442
-1.703324,50,337.25324
-1.243847,50,338.623057
-1.280091,50,339.991913
-1.670717,50,341.592699
-0.660799,50,342.958309
-2.05097,50,344.283719
-1.157416,50,345.627169
-0.683635,50,347.134855
-1.006784,50,348.487551
-0.95982,50,349.863982
-1.282739,50,351.262273
-1.085178,50,352.807551
-2.238357,50,354.167181
-1.235439,50,355.559572
-1.030326,50,356.834162
-1.354237,50,358.597378
-1.604336,50,359.972746
-1.221431,50,361.270535
-1.537117,50,362.629213
-1.593298,50,364.248871
-1.560956,50,365.496514
-1.613619,50,366.802734
-1.40584,50,368.155549
-1.788844,50,369.808103
-1.361468,50,371.152138
-1.909546,50,372.474676
-1.99875,50,373.868556
-1.869238,50,375.399693
-1.277414,50,376.586679
-1.715225,50,377.777076
-1.986332,50,378.963319
-1.13204,50,380.48863
-1.813268,50,381.699824
-1.39826,50,382.962028
-1.659386,50,383.895177
-2.024786,50,385.399948
-1.350304,50,386.40537
-1.250061,50,387.487682
-1.33132,50,388.829519
-1.124857,50,390.371098
-1.21418,50,391.802149
-0.799582,50,393.167796
-1.048567,50,394.374285
-1.861254,50,395.867126
-1.400117,50,397.168234
-1.407364,50,398.480354
-1.245104,50,399.676922
-1.502135,50,401.157114
-1.640989,50,402.504024
-1.832656,50,403.884693
-1.187325,50,405.220904
-1.6238,50,406.876596
-0.922845,50,408.204769
-1.222364,50,409.610769
-1.540589,50,411.004288
-1.813654,50,412.74158
-1.568304,50,414.114481
-1.54244,50,415.482084
-1.694421,50,416.822649
-1.623562,50,418.390522
-2.057903,50,419.630402
-0.877834,50,420.910341
-1.825683,50,421.940627
-1.494662,50,423.356293
-1.212028,50,424.665474
-1.941121,50,425.526197
-1.518108,50,426.844204
-1.609683,50,428.186923
-1.973939,50,429.468385
-1.520483,50,430.7149
-1.57802,50,431.979965
-2.013011,50,433.647583
-1.682208,50,434.962135
-1.566933,50,436.347476
-1.871668,50,437.552192
-1.585273,50,439.285409
-0.347576,50,440.668532
-1.32471,50,442.096436
-0.845771,50,443.358013
-0.94796,50,444.983227
-0.91648,50,446.520886
-1.246845,50,447.966339
-1.774731,50,449.481289
-1.688536,50,451.150171
-1.025338,50,452.502167
-1.534491,50,453.906488
-0.995452,50,455.320924
-1.218669,50,456.934879
-1.336401,50,458.252373
-1.412075,50,459.695588
-1.325006,50,460.912941
-1.751605,50,462.576877
-1.18758,50,463.947668
-1.426747,50,465.326878
-1.461373,50,466.679927
-2.500125,50,468.226325
-1.01261,50,469.562022
-0.395721,50,470.86173
-2.07652,50,472.139929
-1.271235,50,473.507552
-2.161741,50,474.852072
-0.489442,50,475.998888
-0.802835,50,477.265198
-1.632004,50,478.856088
-1.071291,50,480.211954
-1.653696,50,481.597171
-2.002121,50,482.990505
-1.339445,50,484.543985
-1.664237,50,485.899268
-1.454543,50,487.206911
-1.33565,50,488.556567
-1.673553,50,490.214816
-2.033204,50,491.557189
-1.314585,50,493.015523
-1.460289,50,494.266918
-1.701892,50,495.689597
-1.745839,50,496.951393
-1.443882,50,498.195499
-0.536693,50,499.426274
-1.118601,50,500.822289
-1.456891,50,502.063865
-1.328783,50,503.388031
-1.736563,50,504.643178
-1.084114,50,506.269903
-0.834641,50,507.545693
-1.407297,50,508.897265
-1.213108,50,510.252119
-1.004582,50,511.928969
-1.605277,50,513.297781
-1.21253,50,514.709903
-1.638637,50,516.114285
-1.364671,50,517.870186
-0.693281,50,519.058565
-1.511692,50,520.392538
-1.19743,50,521.796117
-1.811927,50,523.30999
-1.423269,50,524.72757
-1.268577,50,526.086954
-1.371261,50,527.447031
-1.059092,50,529.063987
