timesteps,mean_reward,policy_loss,value_loss
2000,-0.28142540506832303,,
4000,-0.27819606390688567,-0.006870266911573708,5.582938933372498
6000,-0.27604271652642637,-0.0025101383827859534,5.910684031248093
8000,-0.23751869811397047,-0.004582593432860449,3.70198332965374
10000,-0.29931117498595267,-0.00567188382265158,4.641846859455109
12000,-0.30418010982126,-0.0026438873959705234,3.589694668352604
14000,-0.26427257829904555,-0.011516132613178343,5.694124403595924
16000,-0.2648577735159779,-0.0016097395564429462,2.13123564273119
18000,-0.23938893616292625,0.0015231243509333582,2.3839978903532026
20000,-0.27917905792407693,-0.013228388875722885,3.518935298919678
22000,-0.25767502598837017,-0.008198447222821415,3.037725192308426
24000,-0.2544002443775535,-0.001394016362610273,2.307352437078953
26000,-0.2395989036411047,-0.0008195231872377917,1.9567957296967506
28000,-0.2334899468217045,-0.0012924531882163137,0.8181817919015885
30000,-0.22621775961853563,0.0046421947830822315,0.8941954076290131
32000,-0.21876293761469423,-0.004395712190307677,2.5423104405403136
34000,-0.2379921646043658,-0.0038634443189948797,0.7854807749390602
36000,-0.23996799048036338,-0.0022327002458041533,0.7115168064832688
38000,-0.23020218020677566,-0.0015230875520501285,0.5719497244805097
40000,-0.2309911580849439,-0.0035108322539599613,0.6746223956346512
42000,-0.23334995744004847,0.0020208866393659265,0.7910581775009632
44000,-0.2755811275020242,0.0027006035641534256,0.6890566423535347
46000,-0.2421414770546835,-0.006169538357062266,0.7881012164056301
48000,-0.23738166958652437,0.0062306665640790015,0.6665986053645611
50000,-0.23507372558466158,-0.0017014954646583647,0.7685291923582553
52000,-0.2628924030549824,-0.002332242651027627,0.634741360321641
54000,-0.245152465865016,0.001835974195273593,0.5217349864542484
56000,-0.22243611297011376,0.002617783388996031,0.5195673320442438
58000,-0.24457496678456664,-0.003063091792864725,0.5258046392351389
60000,-0.2517834322396666,-0.0044173450471134855,0.669261859357357
