timesteps,actor_loss,critic_loss,ent_coef,mean_reward
1000,12.221525192260742,0.17437389492988586,0.40885108709335327,-3.1479929791485413
2000,28.68684959411621,0.3831038475036621,0.16443189978599548,-3.8981371815664896
3000,32.552703857421875,1.2289221286773682,0.07366933673620224,-3.03245527257683
4000,36.61789321899414,1.8941965103149414,0.03583658114075661,-1.3143827681092517
5000,35.14891052246094,3.275172233581543,0.025752801448106766,-2.3344057178512556
6000,53.26609802246094,4.843581199645996,0.02056778222322464,-3.249807842533053
7000,49.86751937866211,9.504737854003906,0.01968085952103138,-2.6921910249803442
8000,44.54326248168945,7.0665130615234375,0.024938348680734634,-1.576734927079836
9000,47.588218688964844,6.225952625274658,0.033291611820459366,-1.8038040976608722
10000,47.31193542480469,5.913961410522461,0.040928903967142105,-1.833899762435496
11000,50.06450271606445,8.678621292114258,0.03533191978931427,-2.3610588051611847
12000,59.33116912841797,7.410500526428223,0.02829821966588497,-2.369141435165453
13000,49.28512191772461,5.835382461547852,0.02825772576034069,-1.925139579189112
14000,46.38442611694336,5.375601291656494,0.024336880072951317,-1.8673492818637132
15000,47.44721984863281,6.446530342102051,0.02878844365477562,-1.9333961980070526
16000,53.92955017089844,8.486624717712402,0.04174557700753212,-1.9282509003678279
17000,48.84244155883789,3.6977105140686035,0.04450197517871857,-2.2964546157167764
18000,48.671329498291016,4.9414873123168945,0.040375079959630966,-1.8719403649792337
19000,41.64606475830078,6.808046340942383,0.039137497544288635,-2.574367055088225
20000,40.0130729675293,8.950376510620117,0.026857653632760048,-1.6052929361937058
21000,48.92484664916992,4.063969135284424,0.02588036097586155,-1.8193397566290823
22000,45.16676712036133,3.5758254528045654,0.02395581267774105,-2.445253481105756
23000,43.51095199584961,4.771091461181641,0.024054843932390213,-1.7489171598825242
24000,38.397216796875,5.931256294250488,0.023900704458355904,-1.8480177981420711
25000,42.46355438232422,4.119336128234863,0.02894267812371254,-1.2762772334588226
26000,44.4074592590332,4.409383296966553,0.024913258850574493,-2.21130137706676
27000,47.49008560180664,5.819780349731445,0.024899903684854507,-2.2725385201910977
28000,43.8046875,4.259406089782715,0.025440577417612076,-2.446388136461843
29000,42.80984878540039,2.4178218841552734,0.02768240123987198,-1.9333130827625282
30000,42.654640197753906,5.261650562286377,0.02576732076704502,-1.889761262265034
31000,40.10963439941406,4.359810829162598,0.027007119730114937,-1.8085530392995735
32000,48.505462646484375,6.315518856048584,0.022390734404325485,-1.4764433861550184
33000,35.223976135253906,3.4970831871032715,0.032484788447618484,-1.8232007376360986
34000,53.880165100097656,2.864773988723755,0.034388601779937744,-2.2424559808173625
35000,53.22437286376953,4.483308792114258,0.032028086483478546,-1.5491621830934936
36000,46.687660217285156,4.025815486907959,0.033900581300258636,-1.9006418277693446
37000,42.516845703125,3.3585076332092285,0.024583198130130768,-1.7734424536064308
38000,48.47247314453125,1.8744964599609375,0.02502964623272419,-1.6665268783460196
39000,38.352386474609375,2.104919910430908,0.025222167372703552,-1.7282201385117515
40000,44.33795166015625,4.38083553314209,0.025420332327485085,-1.7051425525765511
41000,43.909645080566406,11.298078536987305,0.022545933723449707,-1.4310113314113888
42000,49.129974365234375,4.860777854919434,0.024077847599983215,-2.0083927891975217
43000,46.38209915161133,13.940418243408203,0.020169412717223167,-1.7937014066246233
44000,49.7061882019043,5.167141914367676,0.02048862725496292,-2.945681680406589
45000,41.47064971923828,3.3335862159729004,0.019977599382400513,-1.46619054490923
46000,41.98905563354492,6.9211931228637695,0.01836201548576355,-1.8448354216434235
47000,37.58557891845703,4.518568992614746,0.016671260818839073,-1.974737702821978
48000,44.914493560791016,4.073080062866211,0.016939479857683182,-2.118649983760675
49000,53.415687561035156,5.485119819641113,0.014598699286580086,-2.475931111806327
50000,47.01122283935547,25.25578498840332,0.013883366249501705,-1.6439760963178305
