controller,success_rate,n_episodes,mean_ep_len,tracking_rmse,final_error,settling_time,overshoot,control_energy,action_jerk,path_length
Scripted (model-based),1.0,50.0,26.38,0.24625413436483906,0.058988817036151886,1319.0,0.4398947134613991,1.3215626030074723,0.6253393471735841,25.260233618604737
SAC (+HER),0.04,50.0,48.04,0.2911450781449339,0.30725574493408203,2402.0,0.5882349796593189,1.8287531527957257,0.28083483151909483,71.90778251435398
PPO (dense),0.08,50.0,46.08,0.24347124506670934,0.1491134613752365,2304.0,0.3964844923466444,2.407273933935044,0.1329487416117806,139.9912131564622
Residual RL (hybrid),0.88,50.0,24.44,0.2500110514698151,0.05436885729432106,1222.0,0.440959207713604,1.2845960616159529,0.6120396574586698,25.825233434404293
