timesteps,actor_loss,critic_loss,ent_coef,mean_reward
2000,-5.793003082275391,0.08373640477657318,0.14422616362571716,-1.0
4000,-3.7604382038116455,0.16299700736999512,0.02664727345108986,-0.975
6000,-3.4425718784332275,0.11533929407596588,0.020249975845217705,-1.0
8000,-3.022858142852783,0.20358186960220337,0.024023475125432014,-0.8975
10000,-4.129849910736084,0.3464493155479431,0.023481149226427078,-0.975
12000,-4.129401683807373,0.23664414882659912,0.019386840984225273,-1.0
14000,-4.921482563018799,1.9055461883544922,0.026110924780368805,-0.975
16000,-6.817469120025635,3.1414928436279297,0.0245206281542778,-0.985
18000,-10.348896026611328,1.2315248250961304,0.03267695754766464,-0.946
20000,-15.967947006225586,17.55670928955078,0.045650336891412735,-0.975
22000,-21.741363525390625,10.570411682128906,0.05396203324198723,-0.975
24000,-27.8907470703125,5.336002349853516,0.058784231543540955,-0.975
26000,-30.731609344482422,7.520146369934082,0.06193462759256363,-0.975
28000,-32.90703201293945,20.22089385986328,0.05778622627258301,-0.95
30000,-39.344749450683594,5.241291522979736,0.06254753470420837,-0.936
32000,-40.483646392822266,4.454599857330322,0.06175689026713371,-0.951
34000,-43.3822021484375,9.300564765930176,0.06774501502513885,-0.9465
36000,-44.96257781982422,7.567823886871338,0.06667011231184006,-0.9585
38000,-42.666404724121094,8.109925270080566,0.06977761536836624,-0.9445
40000,-45.807151794433594,17.19207763671875,0.06706064194440842,-0.902
42000,-47.47722244262695,8.851434707641602,0.07522508502006531,-0.9095
44000,-50.480987548828125,6.344261169433594,0.08057253807783127,-0.971
46000,-50.857059478759766,9.548951148986816,0.0848173126578331,-0.9475
48000,-53.754356384277344,10.288331985473633,0.06478028744459152,-0.932
50000,-52.65488815307617,5.054217338562012,0.06005078926682472,-0.9325
