timesteps,actor_loss,critic_loss,ent_coef,mean_reward
2000,-6.885953903198242,0.09276525676250458,0.14365899562835693,-0.9745
4000,-5.722087860107422,0.08972154557704926,0.02136499062180519,-0.95
6000,-4.330504417419434,0.049523524940013885,0.004195159301161766,-0.95
8000,-2.0843000411987305,0.2929377257823944,0.0026752976700663567,-0.925
10000,-0.07040215283632278,0.11929387599229813,0.0020204742904752493,-0.925
12000,0.05476003885269165,1.3773632049560547,0.0017404485261067748,-1.0
14000,1.2104471921920776,0.3228030502796173,0.0019502000650390983,-0.975
16000,2.0364365577697754,0.26407119631767273,0.0021398267708718777,-1.0
18000,3.6133697032928467,0.25470930337905884,0.002488885773345828,-0.875
20000,3.053189277648926,0.8577247858047485,0.004378620069473982,-0.975
22000,4.304202556610107,0.9373713731765747,0.004246503114700317,-1.0
24000,5.834967613220215,1.2628331184387207,0.005309138912707567,-0.975
26000,3.6767020225524902,0.7521090507507324,0.003659674199298024,-0.975
28000,5.867523670196533,0.641382098197937,0.004273699130862951,-0.925
30000,6.404783725738525,1.0793497562408447,0.0030793515034019947,-0.975
32000,2.684023857116699,1.0191575288772583,0.003992090001702309,-0.975
34000,3.5983359813690186,1.002606987953186,0.004427220206707716,-0.975
36000,4.658609390258789,0.942626953125,0.005087313707917929,-0.975
38000,3.198737144470215,0.868392825126648,0.005256050266325474,-0.95
40000,1.278970718383789,1.5350841283798218,0.006038828752934933,-0.95
