controller,success_rate,n_episodes,mean_ep_len,tracking_rmse,final_error,settling_time,overshoot,control_energy,action_jerk,path_length
Model-based (PD),1.0,50.0,3.8,0.10409380016707954,0.05847332999110222,190.0,0.17139342427253723,0.6856364114585052,0.6740869652288065,7.93322508379725
SAC (+HER),1.0,50.0,2.76,0.12190028222389827,0.060086239129304886,138.0,0.2146834060549736,2.3122304831306613,1.3538063907624533,8.257684767560365
PPO (dense),1.0,50.0,2.92,0.1194244975316327,0.06016542762517929,146.0,0.20223341137170792,1.6291674266845408,1.1096845927011687,8.350849024990445
Residual RL (hybrid),1.0,50.0,3.32,0.10917546552558491,0.07030295580625534,166.0,0.18891390413045883,1.05126465300376,0.8213791501205381,8.007165223642396
