controller,success_rate,n_episodes,mean_ep_len,tracking_rmse,final_error,settling_time,overshoot,control_energy,action_jerk,path_length
PID (reach-only),0.04,50.0,48.04,0.2780816180488226,0.24370689690113068,2402.0,0.4251160994172096,1.0643846131201151,0.13109191617212385,17.687386085518966
Scripted (model-based),1.0,50.0,27.12,0.23355368434288903,0.05857502669095993,1356.0,0.419113103300333,1.29713367923544,0.6219456478202965,25.20778689832617
Pure RL (SAC+HER),0.02,50.0,49.02,0.27617455179631295,0.15180785953998566,2451.0,0.42242521420121193,1.6211133238432258,0.263621516545545,73.92224893213029
Residual RL (hybrid),0.82,50.0,24.78,0.3051197190700597,0.0526428297162056,1239.0,0.48821432143449783,1.2149184648387943,0.5851813228601952,23.960084513221673
