timesteps,actor_loss,critic_loss,ent_coef,mean_reward
1000,-8.60738468170166,0.05757018178701401,0.40727657079696655,-0.059
2000,-9.793270111083984,0.0732363760471344,0.14983819425106049,-0.077
3000,-9.58093547821045,0.05638366937637329,0.055287834256887436,-0.064
4000,-9.102632522583008,0.056826528161764145,0.021521277725696564,-0.072
5000,-8.436895370483398,0.037445999681949615,0.009293552488088608,-0.093
6000,-8.162784576416016,0.04218902811408043,0.005170825868844986,-0.057
7000,-7.7560882568359375,0.03087923303246498,0.00444523012265563,-0.107
8000,-7.630232810974121,0.034655917435884476,0.0038903604727238417,-0.109
9000,-7.250143051147461,0.047336284071207047,0.003057699417695403,-0.049
10000,-7.065057277679443,0.04073217511177063,0.0024035717360675335,-0.109
11000,-6.762744903564453,0.04590770602226257,0.002294470090419054,-0.115
12000,-6.476733207702637,0.04159525781869888,0.0022290607448667288,-0.22
